Näitaja;Tegevusala;Tööga hõivatud isikute arv;DIM5;Turvalisus;TIME;Vaatlusperiood;ValueStr;Value
Ettevõtete osatähtsus, %;Tekstiili-, rõiva- ja nahatootmine;250 ja enam;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;20;20
Ettevõtete osatähtsus, %;Tekstiili-, rõiva- ja nahatootmine;250 ja enam;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;80;80
Ettevõtete osatähtsus, %;Tekstiili-, rõiva- ja nahatootmine;250 ja enam;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;40;40
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;1;Tugev paroolide autentimine;2019;2019;57.1;57,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;67.9;67,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;6.6;6,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;23;23
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;5;Andmete varundamine eraldi keskkonda;2019;2019;72;72
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;6;Võrgujuurdepääsu kontroll;2019;2019;56.4;56,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;7;VPNi kasutamine;2019;2019;34.7;34,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;34.8;34,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;9;IKT riskianalüüside teostamine;2019;2019;21.2;21,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;10;IKT turvatestid;2019;2019;28.5;28,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;83.6;83,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;39.7;39,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;39.7;39,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;31.3;31,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;51.6;51,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;16;IKT turvalisuse teemadest ei teavitata;2019;2019;48.4;48,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;38.9;38,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;61.3;61,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;86.5;86,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;34.4;34,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;18.4;18,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;16.6;16,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;55.2;55,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;25.3;25,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;7.6;7,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;15.2;15,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;6;6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;4.1;4,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;21.2;21,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;6.6;6,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;3.6;3,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;10.6;10,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;89.4;89,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;Kokku;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;1.6;1,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;1;Tugev paroolide autentimine;2019;2019;40;40
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;53.3;53,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;6.7;6,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;20;20
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;5;Andmete varundamine eraldi keskkonda;2019;2019;53.3;53,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;6;Võrgujuurdepääsu kontroll;2019;2019;20;20
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;7;VPNi kasutamine;2019;2019;13.3;13,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;20;20
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;9;IKT riskianalüüside teostamine;2019;2019;6.7;6,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;10;IKT turvatestid;2019;2019;6.7;6,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;66.7;66,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;20;20
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;20;20
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;6.7;6,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;26.7;26,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;16;IKT turvalisuse teemadest ei teavitata;2019;2019;73.3;73,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;26.7;26,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;46.7;46,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;66.7;66,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;26.7;26,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;13.3;13,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;40;40
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;13.3;13,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;13.3;13,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;13.3;13,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;6.7;6,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;6.7;6,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;93.3;93,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;10-19;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;1;Tugev paroolide autentimine;2019;2019;66.7;66,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;71.4;71,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;19;19
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;5;Andmete varundamine eraldi keskkonda;2019;2019;81;81
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;6;Võrgujuurdepääsu kontroll;2019;2019;66.7;66,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;7;VPNi kasutamine;2019;2019;33.3;33,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;38.1;38,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;9;IKT riskianalüüside teostamine;2019;2019;23.8;23,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;10;IKT turvatestid;2019;2019;33.3;33,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;90.5;90,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;38.1;38,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;38.1;38,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;33.3;33,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;52.4;52,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;16;IKT turvalisuse teemadest ei teavitata;2019;2019;47.6;47,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;42.9;42,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;61.9;61,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;95.2;95,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;33.3;33,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;14.3;14,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;23.8;23,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;57.1;57,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;28.6;28,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;14.3;14,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;9.5;9,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;19;19
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;4.8;4,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;9.5;9,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;90.5;90,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;20-49;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;0;0
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;1;Tugev paroolide autentimine;2019;2019;55.8;55,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;72.1;72,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;7;7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;23.3;23,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;5;Andmete varundamine eraldi keskkonda;2019;2019;76.7;76,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;6;Võrgujuurdepääsu kontroll;2019;2019;74.4;74,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;7;VPNi kasutamine;2019;2019;46.5;46,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;41.9;41,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;9;IKT riskianalüüside teostamine;2019;2019;27.9;27,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;10;IKT turvatestid;2019;2019;37.2;37,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;88.4;88,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;53.5;53,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;53.5;53,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;39.5;39,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;67.4;67,4
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;16;IKT turvalisuse teemadest ei teavitata;2019;2019;32.6;32,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;34.9;34,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;76.7;76,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;95.3;95,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;27.9;27,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;21;IKT alaseid ülesandeid teostavad enda töötajad, IKT turvalisuse ülesandeid väline teenusepakkuja;2019;2019;16.3;16,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;22;IKT alaseid ülesandeid teostab väline teenusepakkuja, IKT turvalisuse ülesandeid enda töötaja;2019;2019;14;14
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;23;IKT alaseid, sealhulgas IKT turvalisusega seotud ülesandeid teostab väline teenusepakkuja;2019;2019;69.8;69,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;24;Dokumendid IKT turvalisuse hindamise, praktikate, protseduuride kohta;2019;2019;18.6;18,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;25;Ettevõttes IKT spetsialistid ja dokumentatsioon IKT turvalisuse hindamise, praktikate ja protseduuride kohta;2019;2019;7;7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;26;Turvapoliitikat muudeti viimati viimase 12 kuu jooksul;2019;2019;7;7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;27;Turvapoliitikat muudeti viimati 12 kuni 24 kuud tagasi;2019;2019;9.3;9,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;28;Turvapoliitikat muudeti viimati rohkem kui 24 kuud tagasi;2019;2019;2.3;2,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;29;Turvapoliitikat muudeti viimati viimase 24 kuu jooksul;2019;2019;16.3;16,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;30;Eelmisel aastal kokkupuude IKT turvaintsidendiga, IKT teenused polnud kättesaadavad;2019;2019;4.7;4,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;31;Eelmisel aastal kokkupuude IKT turvaintsidendiga, andmete hävitamine või rikkumine;2019;2019;7;7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;32;Eelmisel aastal kokkupuude IKT turvaintsidendiga, konfidentsiaalsete andmete leke;2019;2019;2.3;2,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;33;Eelmisel aastal kokkupuude vähemalt ühe IKT turvaintsidendiga;2019;2019;9.3;9,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;34;Eelmisel aastal ei puutunud kokku ühegi IKT turvaintsidendiga;2019;2019;90.7;90,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;50-99;35;Kindlustus IKT turvaintsidentide vastu;2019;2019;2.3;2,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;1;Tugev paroolide autentimine;2019;2019;65.5;65,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;2;Värskeimate tarkvara versioonide kasutamine;2019;2019;82.8;82,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;3;Biomeetrilise meetodi kasutamine kasutaja tuvastamiseks, autentimiseks;2019;2019;6.9;6,9
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;4;Andmete, dokumentide, e-kirjade krüpteerimine;2019;2019;31;31
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;5;Andmete varundamine eraldi keskkonda;2019;2019;82.8;82,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;6;Võrgujuurdepääsu kontroll;2019;2019;86.2;86,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;7;VPNi kasutamine;2019;2019;62.1;62,1
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;8;Turvaintsidendi logifailide kopeerimine ja säilitamine analüüsiks;2019;2019;48.3;48,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;9;IKT riskianalüüside teostamine;2019;2019;31;31
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;10;IKT turvatestid;2019;2019;51.7;51,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;11;Kasutatakse IKT turvalisuse meetodeid;2019;2019;96.6;96,6
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;12;Vabatahtlik IKT turvalisuse koolitusel osalemine, sisemise teabe edastamine;2019;2019;65.5;65,5
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;13;Kohustuslikud koolitused, kohustusliku materjali lugemine;2019;2019;69;69
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;14;IKT turvalisusega seonduv on fikseeritud lepingus;2019;2019;69;69
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;15;Töötajaid teavitatakse IKT turvalisusest eri viisidel;2019;2019;82.8;82,8
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;16;IKT turvalisuse teemadest ei teavitata;2019;2019;17.2;17,2
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;17;IKT turvalisuse tegevuste teostajad on ettevõtte enda töötajad;2019;2019;51.7;51,7
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;18;IKT turvalisuse tegevusi teostab väline teenusepakkuja;2019;2019;79.3;79,3
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;19;IKT turvalisuse tegevusi teostavad ettevõtte enda töötajad ja väline teenusepakkuja;2019;2019;100;100
Ettevõtete osatähtsus, %;Puidu, paberi tootmine ja trükindus;100-249;20;IKT alaseid, sh IKT turvalisusega seotud ülesandeid teostavad ettevõtte enda töötajad;2019;2019;51.7;51,7
